epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.975,2.71371,4.68122,12.7325,2.84491,0.00657,0.07227,0.00583,0.00187,0.00737,0.05358,0.00507,0.00119,2.68113,4.60497,4.94333,2.65392,0.0667733,3.32599e-05,3.32599e-05
2,310.365,2.46463,4.28018,4.49363,2.63889,0.36929,0.03397,0.02186,0.00649,0.33853,0.02967,0.00222,0.00046,2.3412,5.66645,4.09668,2.671,0.0334733,6.6577e-05,6.6577e-05
3,461.85,2.37512,4.13364,4.13118,2.58542,0.30254,0.09335,0.05577,0.02018,0.27253,0.09107,0.05071,0.01472,2.3362,4.01282,3.60959,2.62429,0.00017325,9.9829e-05,9.9829e-05
4,613.793,2.28344,3.99115,3.972,2.50116,0.38052,0.10864,0.09265,0.02893,0.30357,0.0835,0.06359,0.01686,2.23333,4.10099,3.4923,2.56538,9.97803e-05,9.97803e-05,9.97803e-05
5,764.728,2.21606,3.85111,3.67771,2.41013,0.36917,0.16978,0.11806,0.0463,0.38781,0.17839,0.11453,0.03484,2.23752,3.89876,3.3637,2.50323,9.96097e-05,9.96097e-05,9.96097e-05
6,920.875,2.16383,3.73115,3.41743,2.40105,0.3347,0.15822,0.1398,0.05409,0.34571,0.14161,0.13448,0.04231,2.13592,3.89397,3.21626,2.30745,9.93906e-05,9.93906e-05,9.93906e-05
7,1088.38,2.13234,3.62291,3.30536,2.3218,0.3565,0.1528,0.14195,0.05267,0.32654,0.12889,0.11118,0.03327,2.17317,4.00199,3.17253,2.30668,9.91232e-05,9.91232e-05,9.91232e-05
8,1237.53,2.08817,3.56815,3.12195,2.27088,0.17609,0.20188,0.14112,0.04972,0.17919,0.18844,0.12477,0.03811,2.22989,3.88625,3.23602,2.30734,9.88079e-05,9.88079e-05,9.88079e-05
9,1390.92,2.06202,3.50869,2.97788,2.26608,0.17244,0.26285,0.14576,0.05363,0.1484,0.24134,0.13026,0.04536,2.17602,3.7059,3.05265,2.39184,9.84449e-05,9.84449e-05,9.84449e-05
10,1546.08,2.03314,3.46945,2.95793,2.24378,0.22818,0.25401,0.17702,0.06674,0.19983,0.24095,0.19024,0.06327,2.17225,3.75787,3.0015,2.37412,9.80345e-05,9.80345e-05,9.80345e-05
11,1696.34,1.96047,3.3493,2.78594,2.17154,0.27946,0.2425,0.18098,0.0624,0.19151,0.19979,0.14273,0.04606,2.18089,4.43655,3.04352,2.41257,9.75773e-05,9.75773e-05,9.75773e-05
12,1847.89,1.93802,3.32435,2.60838,2.1453,0.35949,0.17083,0.19866,0.07652,0.17952,0.22005,0.17884,0.06303,2.21365,3.68869,2.95612,2.41137,9.70736e-05,9.70736e-05,9.70736e-05
13,1997.53,1.8791,3.24448,2.53619,2.09815,0.30028,0.27695,0.23185,0.08445,0.25931,0.25456,0.20171,0.06972,2.2129,3.71233,2.89366,2.40494,9.65239e-05,9.65239e-05,9.65239e-05
14,2147.09,1.88608,3.20228,2.53518,2.09221,0.25848,0.19989,0.19009,0.07356,0.22631,0.19138,0.1542,0.05512,2.20926,3.74785,3.21212,2.41728,9.59289e-05,9.59289e-05,9.59289e-05
15,2296.66,1.84957,3.16506,2.3979,2.0707,0.24969,0.25521,0.20201,0.07437,0.24403,0.22722,0.171,0.06318,2.19924,3.64879,3.05537,2.43023,9.52889e-05,9.52889e-05,9.52889e-05
16,2446.97,1.82732,3.10107,2.27503,2.03717,0.2997,0.24325,0.19473,0.07179,0.26914,0.22596,0.1685,0.05205,2.31402,3.88265,3.097,2.49592,9.46048e-05,9.46048e-05,9.46048e-05
17,2596.92,1.82981,3.07916,2.27829,2.04058,0.30039,0.28687,0.19276,0.07347,0.29935,0.2855,0.18867,0.06024,2.27353,3.70107,3.29243,2.45711,9.38772e-05,9.38772e-05,9.38772e-05
18,2751.05,1.7688,3.02484,2.14163,1.98019,0.22241,0.24981,0.1806,0.06909,0.20116,0.24166,0.16666,0.05647,2.25288,3.81743,3.17986,2.43841,9.31067e-05,9.31067e-05,9.31067e-05
19,2910.79,1.73866,2.9513,2.06591,1.96492,0.23718,0.32255,0.20902,0.07671,0.24036,0.30518,0.1893,0.06234,2.29925,3.74804,3.02429,2.50904,9.22942e-05,9.22942e-05,9.22942e-05
20,3065.84,1.71323,2.91076,1.93921,1.91274,0.33391,0.24754,0.2063,0.07558,0.31791,0.23098,0.18585,0.06375,2.38505,3.79934,3.05565,2.5042,9.14405e-05,9.14405e-05,9.14405e-05
21,3230.04,1.68703,2.89506,1.89226,1.90241,0.34414,0.28781,0.24795,0.0971,0.36998,0.23501,0.2316,0.08421,2.32309,3.82511,2.95435,2.49329,9.05463e-05,9.05463e-05,9.05463e-05
22,3393.02,1.61147,2.80442,1.74079,1.81829,0.31901,0.29551,0.23813,0.08795,0.30994,0.2806,0.21917,0.07096,2.38506,3.86588,2.97856,2.59382,8.96127e-05,8.96127e-05,8.96127e-05
23,3555.62,1.61854,2.78734,1.72323,1.82861,0.33933,0.2915,0.24902,0.09123,0.30928,0.27333,0.22608,0.07848,2.34338,3.81295,3.13513,2.53704,8.86404e-05,8.86404e-05,8.86404e-05
24,3715.47,1.62623,2.80306,1.69734,1.82212,0.32178,0.24411,0.23238,0.08383,0.36309,0.24468,0.21938,0.06929,2.36363,4.13419,3.17631,2.51284,8.76305e-05,8.76305e-05,8.76305e-05
25,3873.29,1.57583,2.78483,1.6207,1.78688,0.27265,0.26204,0.21608,0.07898,0.26235,0.24695,0.19543,0.06353,2.43318,3.87793,3.25747,2.63772,8.65839e-05,8.65839e-05,8.65839e-05
26,4033.11,1.53881,2.66751,1.50547,1.74574,0.32301,0.33223,0.23965,0.08768,0.29876,0.31174,0.22799,0.07804,2.37202,3.82668,3.21169,2.5488,8.55018e-05,8.55018e-05,8.55018e-05
27,4184.49,1.54289,2.63634,1.51013,1.73068,0.2855,0.27531,0.22156,0.08396,0.27288,0.27342,0.20399,0.06865,2.43659,3.87108,3.29382,2.63724,8.43851e-05,8.43851e-05,8.43851e-05
28,4341.46,1.50243,2.61374,1.42265,1.67776,0.32712,0.28755,0.23851,0.08703,0.33327,0.29006,0.22898,0.07185,2.44303,4.01798,3.25875,2.64198,8.32349e-05,8.32349e-05,8.32349e-05
29,4492.89,1.48639,2.5554,1.35992,1.68072,0.30032,0.29375,0.2282,0.08246,0.29896,0.29518,0.20518,0.06912,2.51964,3.999,3.27153,2.71972,8.20525e-05,8.20525e-05,8.20525e-05
30,4642.29,1.465,2.5768,1.36786,1.65282,0.3109,0.29393,0.21726,0.07791,0.28046,0.25811,0.18552,0.06043,2.50647,3.967,3.2244,2.77388,8.08389e-05,8.08389e-05,8.08389e-05
31,4792.36,1.42605,2.49928,1.36587,1.63454,0.31947,0.26052,0.22423,0.08356,0.29575,0.26207,0.198,0.06912,2.50743,4.19411,3.27724,2.82574,7.95954e-05,7.95954e-05,7.95954e-05
32,4942.12,1.39999,2.46577,1.26647,1.60585,0.37681,0.26501,0.23871,0.08252,0.34529,0.23063,0.19912,0.06586,2.57677,4.09401,3.31564,2.82101,7.83231e-05,7.83231e-05,7.83231e-05
33,5092.33,1.39824,2.46697,1.24759,1.59345,0.34651,0.24095,0.22282,0.08223,0.39881,0.19592,0.19724,0.06648,2.52026,4.19426,3.29216,2.74278,7.70234e-05,7.70234e-05,7.70234e-05
34,5241.84,1.36765,2.44202,1.16946,1.55759,0.37137,0.24985,0.23099,0.08596,0.29058,0.2632,0.2112,0.07591,2.50976,4.16587,3.34874,2.72332,7.56976e-05,7.56976e-05,7.56976e-05
35,5391.05,1.33657,2.39111,1.13226,1.53276,0.33498,0.28763,0.24556,0.08944,0.31316,0.27291,0.21908,0.07169,2.4705,3.99982,3.32805,2.71744,7.43468e-05,7.43468e-05,7.43468e-05
36,5539.62,1.3529,2.38984,1.1575,1.54993,0.32223,0.23871,0.21498,0.08098,0.31366,0.23229,0.20238,0.06862,2.55316,4.10743,3.42452,2.80012,7.29725e-05,7.29725e-05,7.29725e-05
37,5699.16,1.32873,2.32202,1.13139,1.52946,0.26421,0.29627,0.21454,0.07787,0.25784,0.27761,0.19978,0.06189,2.5232,4.38507,3.47535,2.79645,7.15761e-05,7.15761e-05,7.15761e-05
38,5863.67,1.28593,2.33611,1.09948,1.51109,0.31607,0.26391,0.23082,0.08375,0.32277,0.26926,0.23531,0.07207,2.51069,4.15002,3.35136,2.82998,7.01588e-05,7.01588e-05,7.01588e-05
39,6026.75,1.28418,2.31296,1.07795,1.48811,0.37259,0.24964,0.2408,0.09323,0.37471,0.24645,0.23188,0.07927,2.50783,4.18232,3.46491,2.78553,6.87222e-05,6.87222e-05,6.87222e-05
40,6191.27,1.30084,2.33478,1.06252,1.50685,0.31799,0.29622,0.24215,0.09295,0.31251,0.27836,0.22013,0.07657,2.53684,4.22051,3.39022,2.78845,6.72675e-05,6.72675e-05,6.72675e-05
41,6350.07,1.23343,2.23835,0.98252,1.43276,0.33843,0.25956,0.2503,0.08914,0.32731,0.25326,0.22795,0.07588,2.53591,4.17622,3.4361,2.86095,6.57963e-05,6.57963e-05,6.57963e-05
42,6501.33,1.25527,2.25145,1.00083,1.45636,0.3426,0.24921,0.23964,0.0919,0.30433,0.2627,0.23461,0.07801,2.53853,4.23769,3.44141,2.84193,6.43101e-05,6.43101e-05,6.43101e-05
43,6651.68,1.2155,2.20938,0.93425,1.421,0.41406,0.24137,0.23565,0.08122,0.40565,0.23668,0.22281,0.06826,2.56554,4.35004,3.63917,2.84766,6.28101e-05,6.28101e-05,6.28101e-05
44,6800.81,1.20525,2.17139,0.92688,1.40261,0.32669,0.28211,0.23671,0.08795,0.318,0.27574,0.22786,0.07279,2.54092,4.32366,3.71532,2.8539,6.12981e-05,6.12981e-05,6.12981e-05
45,6950.18,1.20038,2.15883,0.92977,1.40142,0.33262,0.26786,0.22317,0.08075,0.30848,0.26367,0.21615,0.06848,2.56311,4.26115,3.6547,2.89628,5.97754e-05,5.97754e-05,5.97754e-05
46,7098.87,1.1855,2.12894,0.86949,1.38187,0.29873,0.27696,0.23951,0.09279,0.30243,0.27527,0.22667,0.07241,2.54773,4.29432,3.55831,2.87284,5.82435e-05,5.82435e-05,5.82435e-05
47,7258.44,1.1632,2.09846,0.83829,1.35971,0.3504,0.27337,0.2425,0.0928,0.30575,0.24524,0.21498,0.07716,2.55818,4.40971,3.53836,2.87234,5.6704e-05,5.6704e-05,5.6704e-05
48,7415.07,1.14663,2.10845,0.8803,1.37307,0.38976,0.27994,0.24391,0.09188,0.33816,0.28357,0.2185,0.07265,2.52203,4.33409,3.68226,2.82866,5.51584e-05,5.51584e-05,5.51584e-05
49,7579.08,1.14921,2.07053,0.83666,1.3544,0.3545,0.24162,0.23227,0.08599,0.32329,0.22189,0.21214,0.06966,2.53335,4.41521,3.77305,2.87346,5.36081e-05,5.36081e-05,5.36081e-05
50,7742.79,1.14893,2.06757,0.83825,1.33693,0.31669,0.30518,0.24965,0.10004,0.29096,0.28459,0.21887,0.07437,2.539,4.51309,3.52936,2.90598,5.20548e-05,5.20548e-05,5.20548e-05
51,7903.27,1.10711,2.01432,0.80609,1.31951,0.28988,0.30095,0.21991,0.08654,0.28682,0.29587,0.20486,0.07016,2.60458,4.42673,3.67209,2.9631,5.05e-05,5.05e-05,5.05e-05
